가게,店
넓다,広い
넘다,越える、過ぎる
넘어지다,倒れる
넣다,入れる
네,はい、４つの～
넥타이,ネクタイ
넷,4
넷째,第４の～、４番目の
년,～年
노란색,黄色
노랗다,黄色い
노래,歌
노래방,カラオケ店
노래하다,歌う
노력하다,努力する
노트,ノート
녹색,緑色
녹차,緑茶
놀다,遊ぶ
놀라다,驚く
농구,バスケットボール
높다,高い
놓다,置く
누가,誰が
누구,誰
누나,姉（弟から見て）
누르다,押す
눈,目、雪
눈물,涙
눈사람,雪だるま
눈싸움,雪合戦
눕다,横になる、寝る
뉴스,ニュース
뉴욕,ニューヨーク
느끼다,感じる
느낌,感じ、気持ち
느리다,（速度が）遅い
늘,いつも、ずっと
늘다,増える、増す
능력,能力
늦다,（時間的に）遅い、遅れる
늦잠,寝坊
님,～様
다,全部
다녀오다,行って来る
다니다,通う
다르다,違う、異なる
다른,別の～、違う～
다리,脚、足、橋
다섯,5
다시,再び、また
다음,次、後
다음달,来月、翌月
다음주,来週
다음해,翌年
다이어트,ダイエット
다치다,けがする、触れる
닦다,磨く、拭く
단어,単語
단점,短所、欠点
닫다,閉める
닫히다,閉まる
달,～ヶ月、月
달걀,卵
달다,甘い
달러,ドル
달력,カレンダー、暦
달리다,走る
닭,にわとり
닭고기,鶏肉
닮다,似る
담그다,漬ける
담배,たばこ
답장,返信、返事
당근,にんじん
당신,あなた
대,～台
대답,答え
대답하다,返事する、答える
대부분,大部分、ほとんど
대사관,大使館
대학,大学
대학교,大学校
대학생,大学生
대학원,大学院
대학원생,大学院生
대한민국,大韓民国
대화,対話
대회,大会
댁,お宅
더,もっと、もう
더럽다,汚い
더운물,お湯
덕분,おかげ
덥다,暑い
덮다,覆う、かぶせる
데리다,連れる
데이트,デート
도로,道路
도서관,図書館
도시,都市
도와주다,助けてあげる、助ける
도움,助け
도착,到着
도착하다,到着する、着く
도쿄,東京
독서,読書
독서실,読書室
독서하다,読書する
독일,ドイツ
돈,お金
돌아가다,帰って行く
돌아오다,帰って来る
돕다,助ける、手伝う
동네,町内、ご近所
동대문시장,東大門市場
동물,動物
동생,弟・妹
동아리,愛好会、サークル
동안,～の間
동양,東洋
동전,硬貨、小銭
동쪽,東、東側
돼지,豚
돼지고기,豚肉
되다,～になる
된장,味噌
된장국,味噌汁
된장찌개,テンジャンチゲ、味噌鍋
두,２つの～
두껍다,厚い
두다,置く
두부,豆腐
두부찌개,豆腐チゲ
둘,2
둘째,第２の～、２番目の～
뒤,後ろ、裏
뒤쪽,後ろ、後ろの方、後側
드라마,ドラマ
드리다,差し上げる
드시다,召し上がる
듣기,聞くこと、聞き取り
