가게,店
취소하다,取り消す
취직하다,就職する
층,～階
치과,歯科
치료하다,治療する
치마,スカート、（韓服の）チマ
치약,歯磨き粉
친구,友達
친절하다,親切だ
친척,親戚
친하다,親しい
칠,7
칠십,70
칠월,７月
칠판,黒板
침대,ベッド、寝台
칫솔,歯ブラシ
카드,カード
카레,カレー
카메라,カメラ
카페,カフェ、喫茶店
칼,刃物、刀、包丁、カッター
캐나다,カナダ
커피,コーヒー
커피숍,コーヒーショップ、喫茶店
컴퓨터,コンピューター、パソコン
컵,カップ
케이크,ケーキ
켜다,つける、（電源を）入れる
코,鼻
코트,コート
코피,鼻血
콜라,コーラ
콧노래,鼻歌
콧물,鼻水
콩,豆、大豆
크기,大きさ、サイズ
크다,大きい
크리스마스,クリスマス
큰아버지,父の（一番上の）兄、伯父
큰어머니,父の（一番上の）兄の妻、伯母
키,背、身長
킬로그램,キログラム
킬로미터,キロメートル
타다,乗る
타월,タオル
탁구,卓球、ピンポン
태국,タイ
태권도,テコンドー
태어나다,うまれる
태풍,台風
택시,タクシー
탤런트,タレント、芸能人
터미널,ターミナル
테니스,テニス
테이블,テーブル
텔레비전,テレビ
토마토,トマト
토요일,土曜日
통,～通（手紙など）
통장,（預金）通帳
통하다,通じる
퇴근하다,退社する、帰宅する
특별히,特別に
특징,特徴
특히,特に
틀다,（スイッチを）入れる、つける
틀리다,間違う
티셔츠,Ｔシャツ
팀,チーム
파,ねぎ
파란색,青色、青
파랗다,青い
파티,パーティ
팔,腕、８
팔다,売る
팔리다,売れる
팔십,80
팔월,８月
패션,ファッション
퍼센트,パーセント
페이지,ページ
펜,ペン
펴다,広げる、伸ばす
편,～編（映画など）
편지,手紙
편하다,楽だ、気楽だ、便利だ
평양,ピョンヤン
평일,平日
포도,ぶどう
포장,包装、荷造り
표,券・切符類の総称、チケット
표현,表現
푹,ぐっすり
풀,草
풀다,解く
프랑스,フランス
프로그램,プログラム
프린트,プリント
피,血
피곤하다,疲れる
피다,咲く
피아노,ピアノ
피우다,咲かせる
피자,ピザ
필름,フィルム
필요,必要
필요하다,必要だ
필통,筆箱、筆入れ
하나,1
하늘,空
하늘색,空色、水色
하다,する、言う
하루,１日
하숙,下宿
하숙집,下宿屋、下宿先
하얀색,白色、白
하얗다,白い
하지만,しかし、けれど
학,つる
학교,学校
학기,学期
학년,学年
학생,学生
학생증,学生証
학원,塾
한,１つの～
한강,ハンガン（漢江）
한국,韓国
한국드라마,韓国ドラマ
한국말,韓国語
한국사람,韓国人
한국어,韓国語
한국요리,韓国料理
한글,ハングル
한번,一回、一度
한복,韓服
한식,韓国料理
한자,漢字
할머니,祖母、おばあさん
할아버지,祖父、おじいさん
할인,割引
함께,一緒に、共に
합격,合格
항상,いつも、常に
해,陽、太陽
해외,海外
해외여행,海外旅行
핸드폰,携帯電話
햄버거,ハンバーガー
햇빛,日光、日差し
행복,幸福、幸せ
행복하다,幸せだ、幸福だ
행사,行事
허리,腰
현금,現金
현재,現在
형,（弟から見て）兄
형님,お兄様、兄貴
형제,兄弟
호,～号
호랑이,虎
호주,オーストラリア、豪州
호텔,ホテル
혼자,独り
홈페이지,ホームページ
홍차,紅茶
화,怒り
화가,画家
화나다,怒る、腹が立つ
화내다,怒る、腹を立てる
화요일,火曜日
화장실,トイレ、化粧室
화장품,化粧品
화장하다,化粧する
확인하다,確認する
환영하다,歓迎する
환자,患者
회사,会社
회사원,会社員
회색,灰色
회의,会議
횡단보도,横断歩道
후,～後
후배,後輩
휴가,休暇
휴대전화,携帯電話
휴일,休日
휴지,ちり紙、トイレットペーパー
휴지통,ゴミ箱
흐리다,曇る
흰색,白色、白
힘,力
